DSP	RSCU	dRSCU	CpG?	CpG_exon	f_premrna	f_mrna	TFBs
6	0.4271	1.1717	1.0	0.4463	0.0354	0.2616	0
42	1.1245	0.799	1.0	0.6364	0.4466	0.3936	0
33	0.8455	0.309	0.0	0.4222	0.4004	0.3496	0
15	1.062	0.6349	1.0	0.9341	0.0046	0.025	0
43	0.9296	0.1407	1.0	0.6704	0.2762	0.3023	0
48	1.3455	0.3455	0.0	0.6346	0.4403	0.4481	0
100	1.291	0.0212	0.0	0.5918	0.1274	0.2562	0
26							0
111	0.4679	1.3839	0.0	0.596	0.414	0.3303	1
297	0.4311	1.9401	0.0	0.596	0.2409	0.3889	1
44	1.1245	0.185	1.0	0.6736	0.3412	0.2581	0
32	0.8873	0.2255	1.0	0.4444	0.2987	0.3347	1
35	0.6545	0.6909	1.0	0.4444	0.2986	0.3351	1
8	1.8517	1.1269	0.0	0.4493	0.2704	0.4051	0
26	0.8952	0.5475	1.0	0.5505	0.2581	0.4539	0
25	0.6545	0.6909	1.0	0.6358	0.1816	0.3736	0
36	0.9288	0.1425	0.0	0.8057	0.1546	0.2962	0
528	1.1457	0.1506	1.0	0.546	0.1178	0.2692	0
264	0.912	0.1501	0.0	0.546	0.2207	0.4947	0
258	0.912	0.4848	1.0	0.546	0.2231	0.4893	0
17	0.4271	0.4848	1.0	0.4765	0.2478	0.2676	0
65	0.529	0.9419	0.0	0.4373	0.0652	0.1046	0
98	1.1064	0.6547	1.0	0.4373	0.0705	0.1202	0
82	0.9288	0.1425	0.0	0.7264	0.3	0.4619	1
164	0.529	0.9419	0.0	0.7233	0.0138	0.147	0
28	1.1064	0.6547	1.0	0.5043	0.1325	0.4297	0
44	0.7904	0.3832	0.0	0.6036	0.1844	0.4275	0
56	1.1457	0.1506	0.0	0.2819	0.1587	0.3379	0
80	0.529	0.9419	0.0	0.6667	0.1086	0.4645	0
1132	0.7725	1.5988	0.0	0.8799	0.2772	0.2772	1
20	0.9288	0.1425	0.0	0.6129	0.3841	0.4123	1
64	1.2063	0.1058	1.0	0.8913	0.0338	0.139	0
53	1.062	0.5368	1.0	0.9164	0.1413	0.4576	0
10	0.8668	0.2664	0.0	0.5516	0.2287	0.4217	0
31	0.7725	1.5988	0.0	0.6687	0.0796	0.3115	0
181	1.1064	0.6547	1.0	0.5101	0.3565	0.3269	0
313	0.9026	0.5771	1.0	0.5101	0.3246	0.3871	0
195	0.4311	1.9401	0.0	0.6725	0.28	0.2681	0
199	0.529	0.9419	0.0	0.6725	0.4046	0.4205	0
752	1.0582	0.1163	1.0	0.4218	0.0662	0.0809	1
242	0.985	0.1504	0.0	0.4885	0.0718	0.3406	0
44	1.062	0.5368	1.0	1.0769	0.2408	0.4179	0
38	0.7249	0.2306	0.0	0.8455	0.3051	0.4474	1
40	2.3713	1.1976	0.0	0.3861	0.297	0.181	1
16							0
