DSP	RSCU	dRSCU	CpG?	CpG_exon	f_premrna	f_mrna	TFBs
8							0
50	0.6545	0.6909	1.0	0.5837	0.1221	0.0413	1
2	1.4211	0.2857	1.0	0.3761	0.2873	0.4832	0
45	0.7249	0.2306	1.0	0.4904	0.4268	0.0871	0
33	1.0835	0.3251	0.0	0.215	0.092	0.4779	0
5	0.9138	0.1724	1.0	0.1884	0.4658	0.3805	0
88							0
1	0.529	0.9419	0.0	0.0	0.268	0.4608	0
194							1
58							0
194	0.9288	0.1425	0.0	0.712	0.0833	0.3946	1
1166	0.4517	0.6547	1.0	0.1936	0.4048	0.4315	0
1	0.8455	0.309	0.0	0.5479	0.3374	0.3369	0
329							0
50							0
5	0.8952	0.5475	1.0	0.5843	0.3478	0.2918	0
57							1
3	0.6545	0.6909	0.0	0.3485	0.2705	0.278	0
24							0
21							0
46	0.7904	1.5808	0.0	0.6426	0.1783	0.4331	0
23							1
72	2.3713	1.9401	0.0	0.408	0.251	0.1015	1
122							0
51	1.1353	0.6767	1.0	0.381	0.019	0.0749	0
19	0.985	0.5263	1.0	0.326	0.2527	0.1121	0
52							0
11							0
89	0.9288	0.1425	1.0	0.6723	0.3559	0.2738	0
1	0.8668	0.2664	0.0	0.1667	0.1753	0.1521	0
36							0
69							1
1487							0
50							0
1293							0
18	1.0835	0.3251	0.0	0.6188	0.0175	0.0677	0
49							0
24							0
1522							0
15	1.1064	0.6547	1.0	0.6737	0.0022	0.1317	1
254	0.6545	0.6909	1.0	0.4825	0.3938	0.4764	0
229							0
100							0
22	1.471	0.9419	0.0	0.5435	0.3763	0.3212	0
26	0.8873	0.2255	1.0	0.5801	0.1577	0.3729	0
194							0
78							0
32							0
128	1.1353	0.6767	1.0	0.4448	0.143	0.2024	0
23							0
76							1
247	0.912	0.4848	1.0	0.2062	0.0779	0.2133	0
2	0.6545	0.3455	0.0	0.5972	0.2008	0.3964	1
15							0
31							1
33							1
613							0
16							1
