Mismatch_AAA,Mismatch_AAC,Mismatch_AAG,Mismatch_AAT,Mismatch_ACA,Mismatch_ACC,Mismatch_ACG,Mismatch_ACT,Mismatch_AGA,Mismatch_AGC,Mismatch_AGG,Mismatch_AGT,Mismatch_ATA,Mismatch_ATC,Mismatch_ATG,Mismatch_ATT,Mismatch_CAA,Mismatch_CAC,Mismatch_CAG,Mismatch_CAT,Mismatch_CCA,Mismatch_CCC,Mismatch_CCG,Mismatch_CCT,Mismatch_CGA,Mismatch_CGC,Mismatch_CGG,Mismatch_CGT,Mismatch_CTA,Mismatch_CTC,Mismatch_CTG,Mismatch_CTT,Mismatch_GAA,Mismatch_GAC,Mismatch_GAG,Mismatch_GAT,Mismatch_GCA,Mismatch_GCC,Mismatch_GCG,Mismatch_GCT,Mismatch_GGA,Mismatch_GGC,Mismatch_GGG,Mismatch_GGT,Mismatch_GTA,Mismatch_GTC,Mismatch_GTG,Mismatch_GTT,Mismatch_TAA,Mismatch_TAC,Mismatch_TAG,Mismatch_TAT,Mismatch_TCA,Mismatch_TCC,Mismatch_TCG,Mismatch_TCT,Mismatch_TGA,Mismatch_TGC,Mismatch_TGG,Mismatch_TGT,Mismatch_TTA,Mismatch_TTC,Mismatch_TTG,Mismatch_TTT
2.0,2.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
1.0,5.0,0.0,0.0,4.0,3.0,3.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0
2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
2.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,4.0
4.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
2.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0
2.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
0.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,6.0,3.0,4.0,1.0,3.0,0.0,2.0,2.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
