DSP	RSCU	dRSCU	CpG?	CpG_exon	f_premrna	f_mrna	TFBs
52							0
171	0.8668	0.2664	0.0	0.3655	0.0415	0.296	0
40	0.9288	0.1425	1.0	0.52	0.1119	0.1949	0
1509	1.0	0.0	0.0	0.2665	0.1786	0.1724	1
18	1.0	0.0	0.0	0.3004	0.4241	0.1873	0
81	0.8873	0.2255	1.0	0.4245	0.2182	0.3356	0
15							0
64	0.529	0.9419	0.0	0.3978	0.4932	0.4058	0
21	1.0	0.0	0.0	0.1958	0.143	0.473	0
134796	1.1245	0.185	0.0	0.3982	0.0298	0.0298	1
32	0.9288	0.1425	1.0	0.4765	0.3792	0.2353	0
128							0
72							0
5455							0
56	0.6545	0.6909	1.0	0.4776	0.0577	0.3236	0
47	1.0	0.0	0.0	0.6319	0.1562	0.2668	0
272	1.1064	0.1899	0.0	0.2763	0.3586	0.3586	0
264	0.4586	0.9624	1.0	0.8235	0.031	0.2546	0
356	0.985	0.4361	0.0	0.2324	0.0881	0.1685	0
20	1.4427	0.5475	1.0	0.0	0.3329	0.293	0
48	0.9288	0.1425	0.0	0.0	0.3408	0.38	1
374	0.912	0.6869	0.0	0.6473	0.3852	0.1031	0
51	0.9138	0.1724	1.0	0.5702	0.4632	0.2321	0
26	0.9288	0.1425	0.0	0.2241	0.1361	0.1582	1
130	0.8455	0.309	0.0	0.6727	0.2023	0.442	0
19	0.4611	0.0299	0.0	0.5407	0.481	0.182	0
353							0
2252	0.8385	0.3231	1.0	0.316	0.4173	0.2459	0
158	0.4762	0.6243	0.0	0.8101	0.2227	0.1263	0
1							0
86	0.4311	1.9401	0.0	0.3912	0.3114	0.489	0
105	0.7249	1.1269	0.0	0.4638	0.0258	0.2609	1
181	0.4762	0.6243	1.0	0.8778	0.297	0.297	0
14	0.9288	0.1425	1.0	0.8236	0.3152	0.1252	0
77	1.1457	0.1506	1.0	0.3317	0.0299	0.3839	0
38	0.9288	0.1425	0.0	0.9848	0.4861	0.3544	0
25	1.1457	0.1506	1.0	0.7412	0.4471	0.2336	0
458	0.9555	0.8962	0.0	0.8268	0.0503	0.2677	1
14	1.1245	0.185	0.0	0.5007	0.19	0.3661	0
32							0
47	0.8873	0.2255	1.0	0.6127	0.1664	0.2572	0
327	1.2698	0.0635	1.0	0.9389	0.0158	0.4043	0
